source,target,commodity_code,weight
GA,PA,01,973790.484375
GA,SC,01,5217702.489746094
GA,SD,01,387979.20703125
GA,TN,01,7020970.248535156
GA,TX,01,29019549.40322876
GA,VA,01,3692874.633666992
IL,GA,01,1757710.5517616272
IL,IN,01,241074.0012741089
IL,KS,01,3451357.5017471313
IL,KY,01,127337.40006065369
IL,MI,01,18022048.13046646
IL,MS,01,109605.8970451355
IL,PA,01,5455581.427761078
IL,WI,01,5704300.657846451
IA,CO,01,44230489.41786194
IA,KS,01,117775478.63706207
IA,MN,01,6330754.571456909
IA,TN,01,7482822.748779297
KS,CO,01,58640326.65840149
KS,NE,01,44656180.67418671
KS,TX,01,16391114.633674622
KY,CO,01,54803899.5
KY,IL,01,77747838.42077637
KY,KS,01,70505717.14898682
KY,MI,01,5494467.338806152
KY,NE,01,146095116.5586548
KY,OH,01,17656550.5
KY,TN,01,21985416.711669922
KY,TX,01,279090504.31100464
ME,CA,01,14123179.139892578
ME,IL,01,2707769.9496154785
ME,MA,01,66238860.69031143
ME,NH,01,541354.1964416504
ME,NJ,01,19020956.96987915
ME,NY,01,66811539.34038544
MI,GA,01,69153.00197601318
MI,IN,01,220335.191116333
MI,ME,01,3693027.8298339844
MI,OH,01,6778111.141983032
MI,PA,01,1525069.623626709
MN,AR,01,30233.39929676056
MN,CA,01,1517159.9426269531
MN,CO,01,1752515.5394716263
MN,ID,01,19393232.65197754
MN,IL,01,39871017.813682556
MN,IA,01,45546041.85916901
MN,KS,01,7080103.036560059
MN,MT,01,9059434.857833862
MN,NE,01,69967050.39590454
MN,NJ,01,3758.400177001953
MN,ND,01,3262567.4358615875
MN,OH,01,2510676.9485549927
MN,OR,01,1709667.3649749756
MN,SD,01,137326522.49243927
MN,TX,01,16277504.983657837
MN,WI,01,643848860.0136719
MS,AL,01,11503618.052825928
MS,GA,01,7519886.03250885
MS,KS,01,2615067.5924453735
MS,LA,01,257286.0041809082
MS,NE,01,9144656.692249298
MS,OK,01,15773415.842910767
MS,SC,01,5670089.557044983
MS,TN,01,3436898.3439712524
MS,TX,01,6445037.781224251
MO,IL,01,254702519.14746094
MO,IA,01,211706853.22802734
MO,KY,01,873654.1689453125
MO,NC,01,154042163.77441406
MO,OK,01,18974747.787109375
NE,CO,01,14881395.74835205
NE,IA,01,8986785.0
NE,KS,01,108019256.52861023
NE,SD,01,36543245.730407715
NE,TX,01,631284.1755981445
NY,CA,01,1453032.0
NY,CT,01,239065.0
NY,GA,01,3378931.7537841797
NY,IL,01,1569241.622680664
NY,MD,01,4478781.962219238
NY,MA,01,371027.00439453125
NY,NJ,01,13698401.09765625
NY,PA,01,12035589.83203125
NY,TX,01,2942611.8846435547
NY,VA,01,5481785.313720703
NC,AL,01,2124152.068359375
NC,AZ,01,8402101.2578125
NC,AR,01,853644.0
NC,CA,01,1957705.05078125
NC,CO,01,3020333.123046875
NC,CT,01,538317.0
NC,FL,01,430589.68359375
NC,GA,01,2047751.5234375
NC,ID,01,1424538.990234375
NC,IL,01,2198475.373046875
NC,IN,01,733993.171875
NC,KY,01,11595507.275390625
NC,LA,01,10540954.576171875
NC,MD,01,1482867.146484375
NC,MA,01,5272403.048828125
NC,MI,01,228353.396484375
NC,MN,01,2388007.969604492
NC,MO,01,1600730.70703125
NC,NE,01,3636642.732421875
NC,NH,01,182246.396484375
NC,NJ,01,122054.40234375
NC,NY,01,1141618.45703125
NC,OH,01,1595282.48046875
NC,OK,01,4601716.869140625
NC,PA,01,2016011.455078125
NC,RI,01,607906.5
NC,SC,01,370431.3984375
NC,TN,01,891749.796875
NC,TX,01,2874317.115234375
NC,VT,01,311423.994140625
NC,VA,01,1762368.380859375
NC,WA,01,2915127.01171875
NC,WI,01,1421744.3125
OH,AL,01,1164868.2141723633
OH,AK,01,528851.7125244141
OH,AZ,01,1841712.098449707
OH,CA,01,5653061.024047852
OH,CO,01,715232.2188110352
OH,FL,01,4742558.740844727
OH,GA,01,648962.9846191406
OH,ID,01,1006010.8120727539
OH,IL,01,2628082.874694824
OH,IN,01,1408557.474243164
OH,IA,01,477264.2942504883
OH,KS,01,567805.5
OH,LA,01,1813250.5521850586
OH,ME,01,476925.8942260742
OH,MD,01,6875735.647094727
OH,MA,01,1966457.9904785156
OH,MI,01,1938268.4125976562
OH,MN,01,726480.0
OH,MS,01,531570.5749511719
OH,MO,01,334388.9959716797
OH,NJ,01,685475.9838867188
OH,NY,01,15069189.200012207
OH,NC,01,604098.0
OH,OK,01,381461.4910888672
OH,OR,01,712573.9333496094
