state_id,label,betweenness,eigenvector,out_degree,commodity_code,commodity_name
50,VT,0.0,0.008671079753374599,0.004127680942747929,10-14,Unknown
51,VA,0.038120567375886524,0.01623038442762079,0.003714473638062676,10-14,Unknown
53,WA,0.08200354609929078,0.010217350286405441,0.06123896990164386,10-14,Unknown
54,WV,0.004875886524822695,0.00960072497328869,0.009588240061142951,10-14,Unknown
55,WI,0.0013297872340425532,0.010903578724346183,0.11259982152648207,10-14,Unknown
56,WY,0.0,0.0040552597230550545,0.1253553508026216,10-14,Unknown
1,AL,0.0008163265306122449,0.010394722514527326,0.18256545693653073,11,Natural Sands
2,AK,0.0,0.005200644105054346,0.0,11,Natural Sands
4,AZ,0.0963265306122449,0.016944862434245124,0.06292167607549602,11,Natural Sands
5,AR,0.0,0.007935786664189785,0.04706700082163823,11,Natural Sands
6,CA,0.12408163265306123,0.05071891136916506,0.19609402707542903,11,Natural Sands
8,CO,0.030612244897959186,0.012200378957159535,0.009492052815465089,11,Natural Sands
9,CT,0.08938775510204082,0.014756485332279396,0.01564529186034234,11,Natural Sands
10,DE,0.0,0.007199627307422431,0.0028806206922749114,11,Natural Sands
11,DC,0.0,0.004999935369635849,0.0,11,Natural Sands
12,FL,0.022448979591836737,0.029449517602110682,0.11275963045172399,11,Natural Sands
13,GA,0.12285714285714286,0.05303306691817633,0.2605194339015925,11,Natural Sands
15,HI,0.0,0.00493365228368799,0.0,11,Natural Sands
16,ID,0.0,0.0052004054143505165,0.0019040656128142734,11,Natural Sands
17,IL,0.09836734693877551,0.01107827708029914,1.0,11,Natural Sands
18,IN,0.02489795918367347,0.025970606682778098,0.029240968304268436,11,Natural Sands
19,IA,0.03918367346938775,0.016481491017049127,0.12739170888116153,11,Natural Sands
20,KS,0.17673469387755103,0.010970935484444982,0.2369372454892924,11,Natural Sands
21,KY,0.0,0.018660093719548368,0.0006436576780046812,11,Natural Sands
22,LA,0.035918367346938776,0.017949874553663314,0.2077683078801235,11,Natural Sands
23,ME,0.0,0.019370904680567937,0.0,11,Natural Sands
24,MD,0.0163265306122449,0.019008731911505206,0.027528445992008845,11,Natural Sands
25,MA,0.020408163265306124,0.022056593972255,0.0031159273487879995,11,Natural Sands
26,MI,0.012244897959183675,0.012447860272718164,0.02175184300704366,11,Natural Sands
27,MN,0.05102040816326531,0.01572275544712537,0.12431076684996861,11,Natural Sands
28,MS,0.0,0.008908783510639829,0.019223188680642735,11,Natural Sands
29,MO,0.0,0.007779305731573951,0.1485462370166409,11,Natural Sands
30,MT,0.0,0.01377918037315656,0.0,11,Natural Sands
31,NE,0.019591836734693877,0.01316945494470358,0.017255971288609444,11,Natural Sands
32,NV,0.018367346938775512,0.016154482645032508,0.011468298528859208,11,Natural Sands
33,NH,0.0,0.0056350388420311655,0.005314534688323177,11,Natural Sands
34,NJ,0.11183673469387756,0.03530468586071162,0.19918637884535842,11,Natural Sands
35,NM,0.0163265306122449,0.02075058564989925,0.011171285273971933,11,Natural Sands
