state_id,label,betweenness,eigenvector,out_degree,threshold,threshold_label
37,NC,0.0008163265306122449,0.15021071794361773,0.43646866763365083,170281326.15916443,threshold_1
38,ND,0.04775510204081633,0.02563312815230058,0.039687856145874195,170281326.15916443,threshold_1
39,OH,0.017142857142857144,0.26767613410834934,0.5918756786911332,170281326.15916443,threshold_1
40,OK,0.009387755102040816,0.09367667851203362,0.1203844931503546,170281326.15916443,threshold_1
41,OR,0.02,0.06637838044417535,0.14373862398239967,170281326.15916443,threshold_1
42,PA,0.0016326530612244899,0.24133799802544734,0.6793783048581873,170281326.15916443,threshold_1
44,RI,0.04775510204081633,0.011266339382042004,0.058436632569667274,170281326.15916443,threshold_1
45,SC,0.015510204081632653,0.11056534318164375,0.23084344984049932,170281326.15916443,threshold_1
46,SD,0.11836734693877551,0.011248776898866893,0.035670697278622605,170281326.15916443,threshold_1
47,TN,0.00040816326530612246,0.16485569958727211,0.48042609521828544,170281326.15916443,threshold_1
48,TX,0.00040816326530612246,0.3714892419663093,0.7519758172781741,170281326.15916443,threshold_1
49,UT,0.025714285714285714,0.06078906869940729,0.1310188268488225,170281326.15916443,threshold_1
50,VT,0.07061224489795918,0.01128357581314451,0.027304068183121023,170281326.15916443,threshold_1
51,VA,0.017959183673469388,0.12809670426640013,0.23620983287421474,170281326.15916443,threshold_1
53,WA,0.026122448979591838,0.1024800203106773,0.26482939740207706,170281326.15916443,threshold_1
54,WV,0.0236734693877551,0.03761255109106444,0.05993681016908503,170281326.15916443,threshold_1
55,WI,0.01673469387755102,0.1277977034011358,0.3400013587916574,170281326.15916443,threshold_1
56,WY,0.10816326530612246,0.008581803551435847,0.016308734331559164,170281326.15916443,threshold_1
1,AL,0.005714285714285714,0.016183021391843286,0.22171954548057993,773474839.3520746,threshold_2
2,AK,0.0032653061224489797,0.004647250103456197,0.00456507493740037,773474839.3520746,threshold_2
4,AZ,0.018775510204081632,0.015107972841765583,0.1432677806088612,773474839.3520746,threshold_2
5,AR,0.006530612244897959,0.010675655661999397,0.10701962951500632,773474839.3520746,threshold_2
6,CA,0.026938775510204082,0.06731012017183086,1.0,773474839.3520746,threshold_2
8,CO,0.10081632653061225,0.017147641506636942,0.12577815063159226,773474839.3520746,threshold_2
9,CT,0.03142857142857143,0.01359819028152352,0.1959350017484366,773474839.3520746,threshold_2
10,DE,0.022448979591836737,0.005234709572068757,0.053931923398079264,773474839.3520746,threshold_2
11,DC,0.0,0.004884785732392158,0.0,773474839.3520746,threshold_2
12,FL,0.012244897959183675,0.040711850516766256,0.24931249277415954,773474839.3520746,threshold_2
13,GA,0.017959183673469388,0.035092072793133346,0.46251129167699573,773474839.3520746,threshold_2
15,HI,0.0,0.004170320825614871,0.0,773474839.3520746,threshold_2
16,ID,0.026122448979591838,0.006506073346746039,0.03036701418429975,773474839.3520746,threshold_2
17,IL,0.008571428571428572,0.042803485044548596,0.7453742062547001,773474839.3520746,threshold_2
18,IN,0.009795918367346938,0.02763663158423459,0.4795733974726324,773474839.3520746,threshold_2
19,IA,0.03306122448979592,0.013428826624365401,0.22482800184564355,773474839.3520746,threshold_2
20,KS,0.0163265306122449,0.012014534114653511,0.17467493369918197,773474839.3520746,threshold_2
21,KY,0.027755102040816326,0.020323933200656397,0.2856020656463095,773474839.3520746,threshold_2
22,LA,0.005714285714285714,0.016738439520437545,0.18080865316546846,773474839.3520746,threshold_2
23,ME,0.007755102040816327,0.005642303648941206,0.02106153838191329,773474839.3520746,threshold_2
24,MD,0.02163265306122449,0.018486150721020587,0.1536485051126689,773474839.3520746,threshold_2
25,MA,0.026938775510204082,0.022759295971712595,0.2653153405713845,773474839.3520746,threshold_2
26,MI,0.005306122448979592,0.030450309862164758,0.4517964546060773,773474839.3520746,threshold_2
27,MN,0.03306122448979592,0.018007056395510566,0.2770862573734728,773474839.3520746,threshold_2
28,MS,0.007755102040816327,0.013685058727378036,0.16663183677800272,773474839.3520746,threshold_2
29,MO,0.015102040816326531,0.019242842384382338,0.3038285506213735,773474839.3520746,threshold_2
30,MT,0.018775510204081632,0.00702410119110213,0.008712574453979117,773474839.3520746,threshold_2
31,NE,0.02938775510204082,0.007712801678841717,0.09337818292247405,773474839.3520746,threshold_2
32,NV,0.0069387755102040816,0.009901677899555148,0.0475846974032479,773474839.3520746,threshold_2
33,NH,0.02653061224489796,0.008795029472969838,0.04958508935425867,773474839.3520746,threshold_2
34,NJ,0.024081632653061225,0.03236645405254664,0.5174554178360687,773474839.3520746,threshold_2
35,NM,0.0012244897959183673,0.006523653133338114,0.013547461285942558,773474839.3520746,threshold_2
36,NY,0.014285714285714287,0.048048518260449286,0.5037447497023877,773474839.3520746,threshold_2
37,NC,0.015102040816326531,0.026809996260224896,0.4297114578053447,773474839.3520746,threshold_2
38,ND,0.02,0.00641677314182427,0.029983779489680985,773474839.3520746,threshold_2
39,OH,0.006530612244897959,0.039096989813190125,0.588624489112872,773474839.3520746,threshold_2
40,OK,0.022857142857142857,0.014456512539141424,0.10634351017263623,773474839.3520746,threshold_2
41,OR,0.08612244897959184,0.015985530276839317,0.1301837841150998,773474839.3520746,threshold_2
42,PA,0.04857142857142857,0.04021775847131846,0.6778844282619334,773474839.3520746,threshold_2
44,RI,0.005714285714285714,0.004748936855858846,0.04642132539468008,773474839.3520746,threshold_2
45,SC,0.02122448979591837,0.018328854890332515,0.22216408591112147,773474839.3520746,threshold_2
46,SD,0.013061224489795919,0.005135610746811521,0.02510204463612484,773474839.3520746,threshold_2
47,TN,0.005306122448979592,0.029701462557367848,0.47579399327083094,773474839.3520746,threshold_2
48,TX,0.004489795918367347,0.07315441038580855,0.748032065911066,773474839.3520746,threshold_2
49,UT,0.0473469387755102,0.013663759885886171,0.1215687431507361,773474839.3520746,threshold_2
50,VT,0.006530612244897959,0.004565045927077564,0.015004208360644509,773474839.3520746,threshold_2
51,VA,0.022857142857142857,0.023027517649403532,0.2257317583992608,773474839.3520746,threshold_2
53,WA,0.010204081632653062,0.02910653196969697,0.25622347154519765,773474839.3520746,threshold_2
54,WV,0.022040816326530613,0.007190467193343269,0.052310913271948846,773474839.3520746,threshold_2
55,WI,0.04204081632653062,0.02012671499773815,0.33773826298204745,773474839.3520746,threshold_2
56,WY,0.0036734693877551023,0.005406358203550222,0.006762473341324183,773474839.3520746,threshold_2
1,AL,0.024081632653061225,0.0169254323991531,0.18585505865581103,2811123610.736374,threshold_3
2,AK,0.0,0.00466917916424806,0.0,2811123610.736374,threshold_3
