state_id,label,betweenness,eigenvector,out_degree,rank_betweenness,rank_eigenvector,rank_out_degree,normalization
13,GA,0.052653061224489796,0.2348586344386973,0.7071402079486913,12,5,9,GDP-Geometric
15,HI,0.0,0.018113152229160948,0.00446180717056678,40,51,51,GDP-Geometric
16,ID,0.002857142857142857,0.05270486316149112,0.22276612223265052,32,43,42,GDP-Geometric
17,IL,0.163265306122449,0.23764556440882162,1.0,2,4,1,GDP-Geometric
18,IN,0.04816326530612245,0.242459685199846,0.8789186606141856,15,2,3,GDP-Geometric
19,IA,0.05102040816326531,0.13235773792065042,0.6644796330997185,13,22,14,GDP-Geometric
20,KS,0.0489795918367347,0.11637429002088745,0.548675792504913,14,27,19,GDP-Geometric
21,KY,0.037551020408163265,0.22296504031719283,0.7469585913490663,20,8,7,GDP-Geometric
22,LA,0.017551020408163268,0.14003390205938662,0.4193866571776883,27,20,26,GDP-Geometric
23,ME,0.0,0.056184632891731943,0.1849017640550264,40,42,44,GDP-Geometric
24,MD,0.02816326530612245,0.11749992511829616,0.2931080232299914,24,26,33,GDP-Geometric
25,MA,0.07714285714285715,0.09547446969071842,0.5269089088442679,8,30,21,GDP-Geometric
26,MI,0.018367346938775512,0.23296719799014415,0.7043463463847778,26,6,10,GDP-Geometric
27,MN,0.030612244897959186,0.1281537350646768,0.6207806332540786,23,23,16,GDP-Geometric
28,MS,0.045714285714285714,0.1796884895712913,0.5919924500547346,16,11,17,GDP-Geometric
29,MO,0.06122448979591837,0.16729682609014287,0.6742592281568288,11,14,12,GDP-Geometric
30,MT,0.0024489795918367346,0.07850651325712552,0.11857459593806476,34,35,47,GDP-Geometric
31,NE,0.005306122448979592,0.08821555579594659,0.40183429056815134,30,32,27,GDP-Geometric
32,NV,0.0,0.06239426681197899,0.15347737026010116,40,41,45,GDP-Geometric
33,NH,0.0020408163265306124,0.06831855860306602,0.28417714558241586,35,39,36,GDP-Geometric
34,NJ,0.0836734693877551,0.15086684089442862,0.6806995649612411,7,18,11,GDP-Geometric
35,NM,0.0,0.048490541135017176,0.07182387530148482,40,45,48,GDP-Geometric
36,NY,0.07714285714285715,0.15337042958767336,0.46465599916476835,8,17,23,GDP-Geometric
37,NC,0.03836734693877551,0.1647438173248224,0.6604512665959057,19,15,15,GDP-Geometric
38,ND,0.004081632653061225,0.09146424903100761,0.24278429768031526,31,31,39,GDP-Geometric
39,OH,0.1469387755102041,0.24062512681622295,0.8445574547319101,4,3,5,GDP-Geometric
40,OK,0.0,0.12003544593276869,0.2990755315759596,40,25,32,GDP-Geometric
41,OR,0.005714285714285714,0.07769342908029936,0.33306878588248534,29,36,30,GDP-Geometric
42,PA,0.18204081632653063,0.1883928245294789,0.8752185959380977,1,10,4,GDP-Geometric
44,RI,0.0,0.03443103868053093,0.2917899062442125,40,48,34,GDP-Geometric
45,SC,0.00816326530612245,0.1768843672687396,0.5293002073417973,28,12,20,GDP-Geometric
46,SD,0.0012244897959183673,0.06300989627423043,0.24643311357064515,37,40,38,GDP-Geometric
47,TN,0.14122448979591837,0.24294817147562894,0.9900397792885167,5,1,2,GDP-Geometric
48,TX,0.12979591836734694,0.23199737267396964,0.7512969194580019,6,7,6,GDP-Geometric
49,UT,0.04326530612244898,0.0787702953863147,0.42372858319407497,18,34,25,GDP-Geometric
50,VT,0.0,0.041480574113685595,0.19070396768187942,40,46,43,GDP-Geometric
51,VA,0.022448979591836737,0.13702250883674708,0.3882901917164597,25,21,29,GDP-Geometric
53,WA,0.0763265306122449,0.09718090516575792,0.5100923831672324,10,29,22,GDP-Geometric
54,WV,0.0,0.0994663191368422,0.2356508866318275,40,28,41,GDP-Geometric
55,WI,0.045714285714285714,0.169195998443388,0.6646677616301712,16,13,13,GDP-Geometric
56,WY,0.0012244897959183673,0.038031337351837544,0.13365964371859887,37,47,46,GDP-Geometric
