origin,destination,trade_value_usd
FL,IA,1217713631.1996346
FL,KS,1416644928.3947268
FL,KY,2723406614.933439
FL,LA,2352713441.912279
FL,ME,307449295.440856
FL,MD,2540833851.6744347
FL,MA,2256799342.6148977
FL,MI,2784879761.1108484
FL,MN,2193377279.6482105
FL,MS,1776774086.074915
FL,MO,2648957166.3336325
FL,MT,227248339.70014572
FL,NE,642207427.3582172
FL,NV,1137182026.8980918
FL,NH,368146054.68382835
FL,NJ,4300139386.729479
FL,NM,394382417.5732355
FL,NY,11976313774.451326
FL,NC,8107720937.623468
FL,ND,400700337.6901798
FL,OH,5496410798.84255
FL,OK,1232769074.1837816
FL,OR,1236752089.3534927
FL,PA,5425939717.181986
FL,RI,165184357.12837505
FL,SC,6233315398.9060135
FL,SD,150684057.11560345
FL,TN,4676149405.777309
FL,TX,12771935174.51404
FL,UT,1998593742.257741
FL,VT,118359915.73759651
FL,VA,5387267024.05959
FL,RoW,57826590613.67026
FL,WA,3489019122.0840397
FL,WV,547856987.9753704
FL,WI,2026991279.502246
FL,WY,113280884.4763937
GA,AL,19284574739.081406
GA,AK,162563613.28532982
GA,AZ,1973664023.9619331
GA,AR,2372626860.6911654
GA,CA,13968677972.83277
GA,CO,1681923703.4542122
GA,CT,1362763083.2849026
GA,DE,499998601.6308842
GA,DC,347009973.23819256
GA,FL,57181694281.52515
GA,HI,129917524.13524246
GA,ID,345871470.40375423
GA,IL,8782355413.094528
GA,IN,4809910084.085175
GA,IA,1677199603.5585783
GA,KS,1953147263.1152973
GA,KY,4842073625.393656
GA,LA,4162231331.4780893
GA,ME,423495032.2254257
GA,MD,2455646184.877866
GA,MA,1834333666.800393
GA,MI,8785724435.228039
GA,MN,2685352071.59816
GA,MS,4494674645.730474
GA,MO,3116487939.745922
GA,MT,811432598.2687607
GA,NE,611124178.1338091
GA,NV,668798765.4981499
GA,NH,864290772.46309
GA,NJ,3721582701.314709
GA,NM,385750278.5863018
GA,NY,5741744878.583951
GA,NC,24185100862.054123
GA,ND,592822946.0991745
GA,OH,7146227457.147263
GA,OK,1844919030.186802
GA,OR,1287390235.976389
GA,PA,6852605562.977129
GA,RI,399310105.6665797
GA,SC,20481662104.083405
GA,SD,1524680410.9974117
GA,TN,23679678657.654125
GA,TX,20575483410.177162
GA,UT,1099345710.121419
GA,VT,348238782.5054064
GA,VA,5350221465.58421
GA,RoW,38692471388.80824
GA,WA,3190845072.527626
GA,WV,746203800.8000736
GA,WI,5160114684.97903
GA,WY,183184459.66205597
HI,AL,1605334.5189170837
HI,AK,1755605.358505249
HI,AZ,17512552.233880043
HI,AR,6797664.09677124
HI,CA,322770916.9256973
HI,CO,17429754.230075836
HI,CT,27377107.335056305
HI,DE,1887106.591079712
HI,DC,298127.397480011
HI,FL,116247247.09665966
HI,GA,14688998.971449852
HI,ID,1879840.805475235
HI,IL,32519449.08693981
HI,IN,6876578.042627335
HI,IA,953253.6976318359
HI,KS,2059965.800857544
HI,KY,8133988.460389137
HI,LA,2491028.9127693176
HI,ME,1135816.6842041016
HI,MD,9342260.376613617
HI,MA,8231624.804261208
HI,MI,12243470.521639824
HI,MN,3042410.0495262146
HI,MS,280661.1946411133
HI,MO,6047377.507331848
HI,MT,416740.48680877686
HI,NE,1214825.4851608276
HI,NV,20380985.75074482
HI,NH,3530996.445701599
HI,NJ,7131187.536643028
HI,NM,14861037.632659912
HI,NY,40974504.725426674
HI,NC,5671590.98550415
HI,ND,1017928.8339366913
HI,OH,7605957.080188751
HI,OK,3444988.226633072
HI,OR,8121455.683822632
HI,PA,40558241.4221344
HI,RI,348155.6022338867
HI,SC,10902375.91342926
HI,SD,733867.3816452026
HI,TN,13775430.617378235
HI,TX,73022608.25424004
HI,UT,5789176.849216461
HI,VT,2005633.3827667236
HI,VA,11942382.11773777
HI,RoW,3149846583.319187
HI,WA,31724756.864915848
HI,WV,1095560.884223938
HI,WI,6394501.868471146
HI,WY,405309.7986869812
IA,AL,1031235764.006176
IA,AK,66743726.49555969
IA,AZ,1727537190.53161
IA,AR,1110776070.758557
IA,CA,6564716119.162502
IA,CO,2392403166.259247
IA,CT,514030255.14044094
IA,DE,146833959.3935585
IA,DC,12003378.683002472
IA,FL,3242764944.178586
IA,GA,4959319144.631138
IA,HI,43028414.99774361
IA,ID,849957691.5861177
IA,IL,16760016844.766848
IA,IN,3522206597.9723225
IA,KS,4057845096.090508
IA,KY,2422708210.178992
IA,LA,1869955570.4498549
IA,ME,592475997.5270672
IA,MD,3544891847.634943
IA,MA,772638922.9667873
IA,MI,4459466126.918663
IA,MN,12498474640.811153
IA,MS,1130323464.4995892
IA,MO,7519334076.504293
IA,MT,508249800.05820847
IA,NE,7255108823.173889
IA,NV,299476470.7257004
IA,NH,186134560.19934845
IA,NJ,2322881701.6296034
IA,NM,265097287.6125431
IA,NY,2370949013.426962
IA,NC,2780549005.2238603
IA,ND,2064293423.9891071
IA,OH,4380396481.1004715
IA,OK,1337243075.4976501
IA,OR,1034595559.9363918
IA,PA,4559109393.389608
IA,RI,76786930.66996384
IA,SC,867620682.0425758
IA,SD,3169325944.909913
IA,TN,1692546552.9795372
IA,TX,10581801061.470186
IA,UT,806177322.7423506
IA,VT,128162472.53190136
IA,VA,2609912642.55262
IA,RoW,13769949824.879124
IA,WA,2201112687.6633883
IA,WV,203907282.55496788
IA,WI,6869305319.040861
IA,WY,330526283.7719784
ID,AL,226900238.8317852
ID,AK,766856459.0238323
ID,AZ,464743082.39779854
ID,AR,45189326.42737579
ID,CA,4201538623.642152
ID,CO,830025250.8600583
ID,CT,36992223.396160126
ID,DE,24231465.2110672
ID,DC,6651658.4574661255
ID,FL,532352747.38491917
ID,GA,482374577.544968
ID,HI,11830114.05995369
ID,IL,1185953573.106255
ID,IN,277540502.81152725
ID,IA,241186169.11522102
ID,KS,222670495.08010292
ID,KY,147961983.32679868
ID,LA,432879360.4190941
ID,ME,5750385.420213699
ID,MD,153657990.4833182
ID,MA,170784602.75120163
ID,MI,343715603.1327915
ID,MN,271399934.11673737
ID,MS,22507585.555351257
ID,MO,439294785.03545666
ID,MT,996158385.8644867
ID,NE,132164088.82633841
ID,NV,561163377.7671208
ID,NH,28984169.179546356
ID,NJ,178690952.25611687
ID,NM,174263800.7897086
ID,NY,631664020.4515285
ID,NC,290894342.2685728
ID,ND,81578771.73131275
ID,OH,496304465.782671
ID,OK,173742142.87800407
ID,OR,1876918020.9226336
ID,PA,614637042.2533463
ID,RI,3605474.0601615906
ID,SC,70640753.92836952
ID,SD,64602988.07844353
ID,TN,460199963.51885796
ID,TX,1784662106.1163378
ID,UT,2855577545.301924
ID,VT,8331467.794464111
ID,VA,174294473.79070663
ID,RoW,4126958030.9250593
ID,WA,3402547628.320775
ID,WV,87023403.36906433
ID,WI,1312398656.9672165
ID,WY,357875947.378747
IL,AL,5016961067.466475
IL,AK,164065720.81333733
IL,AZ,3682342526.541374
IL,AR,3300671381.8046236
IL,CA,24339748322.98754
IL,CO,4545006641.914111
IL,CT,2851287986.8033056
IL,DE,673144804.7043209
IL,DC,382133866.985404
IL,FL,13697034735.568195
IL,GA,10790725533.192429
IL,HI,433026418.24705696
IL,ID,748140362.2053242
IL,IN,55369018953.03595
